Date,EUR_Price,EUR_Open,EUR_High,EUR_Low
2019-02-18,1.1311,1.1288,1.1337,1.1284
2019-02-19,1.1341,1.131,1.1358,1.1274
2019-02-20,1.1337,1.1342,1.1374,1.1324
2019-02-21,1.1336,1.1338,1.1368,1.132
2019-02-22,1.1343,1.1337,1.136,1.1315
2019-02-23,1.1343,1.1337,1.136,1.1315
2019-02-24,1.1343,1.1337,1.136,1.1315
2019-02-25,1.1359,1.1338,1.1369,1.1323
2019-02-26,1.1387,1.1366,1.1404,1.1343
2019-02-27,1.1369,1.1396,1.1404,1.136
2019-02-28,1.1371,1.1371,1.1421,1.1357
2019-03-01,1.1377,1.1372,1.141,1.1353
2019-03-02,1.1377,1.1372,1.141,1.1353
2019-03-03,1.1377,1.1372,1.141,1.1353
2019-03-04,1.134,1.138,1.1398,1.1309
2019-03-05,1.1308,1.1339,1.1353,1.129
2019-03-06,1.1307,1.1313,1.1328,1.1286
2019-03-07,1.1194,1.1306,1.1322,1.1176
2019-03-08,1.124,1.1194,1.1248,1.1185
2019-03-09,1.124,1.1194,1.1248,1.1185
2019-03-10,1.124,1.1194,1.1248,1.1185
2019-03-11,1.1247,1.1238,1.1259,1.1221
2019-03-12,1.1286,1.125,1.1308,1.1243
2019-03-13,1.1325,1.1287,1.1341,1.1277
2019-03-14,1.1302,1.1329,1.1342,1.1293
2019-03-15,1.1325,1.1305,1.1346,1.1296
2019-03-16,1.1325,1.1305,1.1346,1.1296
2019-03-17,1.1325,1.1305,1.1346,1.1296
2019-03-18,1.1336,1.1323,1.136,1.1317
2019-03-19,1.1349,1.1337,1.1364,1.1332
2019-03-20,1.1411,1.1351,1.145,1.1335
2019-03-21,1.1373,1.1414,1.1439,1.1342
2019-03-22,1.1313,1.1375,1.1394,1.1272
2019-03-23,1.1313,1.1375,1.1394,1.1272
2019-03-24,1.1313,1.1375,1.1394,1.1272
2019-03-25,1.1311,1.1294,1.1333,1.1284
2019-03-26,1.1264,1.1313,1.1329,1.1262
2019-03-27,1.1247,1.1269,1.1287,1.1242
2019-03-28,1.122,1.1244,1.1264,1.1213
2019-03-29,1.1217,1.1221,1.1249,1.1208
2019-03-30,1.1217,1.1221,1.1249,1.1208
2019-03-31,1.1217,1.1221,1.1249,1.1208
2019-04-01,1.1212,1.1218,1.125,1.1202
2019-04-02,1.1202,1.1216,1.1219,1.1183
2019-04-03,1.1234,1.1205,1.1256,1.12
2019-04-04,1.122,1.1235,1.125,1.1205
2019-04-05,1.1214,1.1223,1.1247,1.1209
2019-04-06,1.1214,1.1223,1.1247,1.1209
2019-04-07,1.1214,1.1223,1.1247,1.1209
2019-04-08,1.1259,1.1218,1.1277,1.1213
2019-04-09,1.1261,1.1272,1.1286,1.1253
2019-04-10,1.1273,1.1264,1.1288,1.1229
2019-04-11,1.125,1.1273,1.1291,1.1249
2019-04-12,1.13,1.1254,1.1327,1.1252
2019-04-13,1.13,1.1254,1.1327,1.1252
2019-04-14,1.13,1.1254,1.1327,1.1252
2019-04-15,1.1307,1.13,1.1322,1.1294
2019-04-16,1.128,1.1303,1.1315,1.1279
2019-04-17,1.1294,1.1281,1.1326,1.1279
2019-04-18,1.1229,1.1297,1.1307,1.1226
2019-04-19,1.1246,1.1241,1.1254,1.1228
2019-04-20,1.1246,1.1241,1.1254,1.1228
2019-04-21,1.1246,1.1241,1.1254,1.1228
2019-04-22,1.1255,1.1244,1.1264,1.1236
2019-04-23,1.1225,1.1257,1.1264,1.1192
2019-04-24,1.1152,1.1229,1.1233,1.114
2019-04-25,1.113,1.1161,1.1164,1.1118
2019-04-26,1.1148,1.1131,1.1176,1.1111
2019-04-27,1.1148,1.1131,1.1176,1.1111
2019-04-28,1.1148,1.1131,1.1176,1.1111
2019-04-29,1.1185,1.1152,1.1192,1.1141
2019-04-30,1.1215,1.1186,1.1231,1.1175
2019-05-01,1.1194,1.1215,1.1266,1.1187
2019-05-02,1.1176,1.1202,1.1221,1.117
2019-05-03,1.12,1.1178,1.1207,1.1135
2019-05-04,1.12,1.1178,1.1207,1.1135
2019-05-05,1.12,1.1178,1.1207,1.1135
2019-05-06,1.1197,1.1172,1.1211,1.1159
2019-05-07,1.119,1.1199,1.1222,1.1165
2019-05-08,1.1191,1.1191,1.1215,1.1182
2019-05-09,1.122,1.1192,1.1253,1.1172
